  step          time          temperature          energy_tot          energy_kin          energy_pot
   1             0.50              91.88          -149.906944            0.002619         -149.909563
   2             1.00             178.74          -149.906954            0.005094         -149.912048
   3             1.50             317.54          -149.907064            0.009050         -149.916114
   4             2.00             455.09          -149.907214            0.012971         -149.920185
   5             2.50             551.56          -149.907357            0.015720         -149.923077
   6             3.00             595.49          -149.907476            0.016972         -149.924448
   7             3.50             599.36          -149.907580            0.017083         -149.924663
   8             4.00             585.28          -149.907687            0.016681         -149.924368
   9             4.50             571.01          -149.907809            0.016274         -149.924084
  10             5.00             562.06          -149.907952            0.016019         -149.923971
  11             5.50             550.78          -149.908105            0.015698         -149.923802
  12             6.00             521.84          -149.908240            0.014873         -149.923113
  13             6.50             462.52          -149.908321            0.013182         -149.921504
  14             7.00             374.26          -149.908318            0.010667         -149.918985
  15             7.50             279.68          -149.908235            0.007971         -149.916206
  16             8.00             217.64          -149.908123            0.006203         -149.914326
  17             8.50             224.40          -149.908064            0.006396         -149.914460
  18             9.00             309.99          -149.908119            0.008835         -149.916955
  19             9.50             447.89          -149.908285            0.012766         -149.921050
  20            10.00             589.90          -149.908507            0.016813         -149.925320
  21            10.50             693.97          -149.908732            0.019779         -149.928511
  22            11.00             743.18          -149.908932            0.021182         -149.930113
  23            11.50             746.34          -149.909107            0.021272         -149.930379
  24            12.00             726.08          -149.909274            0.020694         -149.929969
  25            12.50             704.21          -149.909452            0.020071         -149.929523
  26            13.00             691.23          -149.909651            0.019701         -149.929352
  27            13.50             682.45          -149.909868            0.019451         -149.929319
  28            14.00             661.52          -149.910081            0.018854         -149.928935
  29            14.50             610.69          -149.910247            0.017405         -149.927652
  30            15.00             525.05          -149.910325            0.014964         -149.925289
  31            15.50             423.74          -149.910307            0.012077         -149.922384
  32            16.00             347.88          -149.910245            0.009915         -149.920161
  33            16.50             339.89          -149.910232            0.009687         -149.919920
  34            17.00             414.47          -149.910339            0.011813         -149.922152
  35            17.50             544.86          -149.910559            0.015529         -149.926089
  36            18.00             678.72          -149.910832            0.019344         -149.930177
  37            18.50             769.99          -149.911095            0.021946         -149.933041
  38            19.00             800.49          -149.911319            0.022815         -149.934134
  39            19.50             780.15          -149.911507            0.022235         -149.933742
  40            20.00             733.65          -149.911673            0.020910         -149.932583
  41            20.50             685.23          -149.911835            0.019530         -149.931365
  42            21.00             648.64          -149.912005            0.018487         -149.930492
  43            21.50             623.69          -149.912185            0.017776         -149.929960
  44            22.00             598.80          -149.912360            0.017067         -149.929427
  45            22.50             558.69          -149.912505            0.015923         -149.928428
  46            23.00             495.27          -149.912587            0.014116         -149.926703
  47            23.50             417.97          -149.912591            0.011913         -149.924504
